name,content_types,label,type,object_type,required,filter_logic,weight,choices
business,ipam.prefix,Business,text,,FALSE,loose,100,
gateway,ipam.prefix,Gateway,text,,FALSE,exact,100,
responsiblePeople,ipam.prefix,ResponsiblePeople,object,tenancy.contact,FALSE,loose,100,
allocationMethod,ipam.ipaddress,allocationMethod,text,,FALSE,exact,100,
deviceOs,ipam.ipaddress,DeviceOs,text,,FALSE,exact,100,
deviceType,ipam.ipaddress,DeviceType,text,,FALSE,exact,100,
deviceVendor,ipam.ipaddress,DeviceVendor,text,,FALSE,exact,100,
duidForIpAddress,ipam.ipaddress,DUID/IAID,text,,FALSE,exact,100,
macForIpAddress,ipam.ipaddress,MAC,text,,FALSE,exact,100,
source,ipam.ipaddress,source,text,,FALSE,exact,100,
state,ipam.ipaddress,state,text,,FALSE,exact,100,
upstreamDeviceName,ipam.ipaddress,UpstreamDeviceName,text,,FALSE,exact,100,
upstreamDevicePort,ipam.ipaddress,UpstreamDevicePort,text,,FALSE,exact,100,
upstreamDeviceVlan,ipam.ipaddress,UpstreamDeviceVlan,integer,,FALSE,exact,100,
assetOs,dcim.device,AssetOs,text,,FALSE,loose,100,
assetType,dcim.device,AssetType,text,,TRUE,exact,100,
assetUpstreamDevice,dcim.device,AssetUpstreamDevice,text,,FALSE,exact,100,
assetUpstreamDevicePort,dcim.device,AssetUpstreamDevicePort,text,,FALSE,exact,100,
assetUpstreamPortVlan,dcim.device,AssetUpstreamPortVlan,integer,,FALSE,exact,100,
description,dcim.device,Description,text,,FALSE,loose,100,
downStreamInterfaces,dcim.device,DownStreamInterfaces,text,,FALSE,loose,100,
duid,dcim.device,DUID/IAID,text,,FALSE,loose,100,
mac,dcim.device,MAC,text,,FALSE,loose,100,
mgrInterfaceIPv4,dcim.device,MgrInterfaceIPv4,text,,FALSE,exact,100,
mgrInterfaceIPv6,dcim.device,MgrInterfaceIPv6,text,,FALSE,loose,100,
mgrInterfaceName,dcim.device,MgrInterfaceName,text,,FALSE,loose,100,
purchaseTime,dcim.device,PurchaseTime,text,,FALSE,loose,100,
snmpAuthenticationAlgorithm,dcim.device,SnmpAuthenticationAlgorithm,text,,FALSE,exact,100,
snmpPlaintextKey,dcim.device,SnmpPlaintextKey,text,,FALSE,loose,100,
snmpPort,dcim.device,SnmpPort,integer,,FALSE,exact,100,
snmpReadCommunity,dcim.device,SnmpReadCommunity,text,,FALSE,exact,100,
snmpUsername,dcim.device,SnmpUsername,text,,FALSE,exact,100,
snmpVersion,dcim.device,SnmpVersion,text,,FALSE,exact,100,
snmpWriteCommunity,dcim.device,SnmpWriteCommunity,text,,FALSE,exact,100,
sshPassword,dcim.device,SshPassword,text,,FALSE,loose,100,
sshPort,dcim.device,SshPort,integer,,FALSE,exact,100,
sshUsername,dcim.device,SshUsername,text,,FALSE,exact,100,
forbiddenDeviceID,ipam.ipaddress,ForbiddenDeviceID,integer,,FALSE,exact,100,
forbiddenStatus,ipam.ipaddress,forbiddenStatus,text,,FALSE,exact,100,
hostName,ipam.ipaddress,hostName,text,,FALSE,loose,100,
contractNumber,dcim.device,ContractNumber,text,,FALSE,loose,100,
department,dcim.device,Department,text,,FALSE,loose,100,
maintenanceTime,dcim.device,MaintenanceTime,text,,FALSE,loose,100,
